,shooterPlayerId,shooterName,xG
35,8481568.0,Alex Vlasic,4.0416286176124485
619,8477220.0,Nate Schmidt,3.964927463670192
323,8471677.0,Jack Johnson,3.9407200785945564
676,8480245.0,Olle Lycksell,3.9207146316401182
239,8476331.0,Dylan DeMelo,3.8768276893184703
766,8474040.0,Sam Gagner,3.860812693234735
706,8477930.0,Pierre-Edouard Bellemare,3.8147216022078085
571,8483505.0,Matthew Poitras,3.786031842274249
164,8477989.0,Christian Dvorak,3.7859295848047387
631,8474009.0,Nick Bonino,3.7513686695774586
857,8475752.0,Tyler Pitlick,3.732420040601546
611,8482070.0,Mitchell Chaffee,3.730667082338496
846,8479442.0,Troy Stecher,3.7287846928822774
884,8482652.0,Walker Duehr,3.723031229051708
341,8479402.0,Jake Bean,3.7061720113903847
392,8481058.0,Jesse Ylonen,3.686223070084647
543,8480796.0,Martin Fehervary,3.6798389579222572
637,8480246.0,Nick Perbix,3.6675593946678946
660,8482496.0,Nils Aman,3.665408528699404
300,8480035.0,Henri Jokiharju,3.6587500948075014
